WL          E.P.     loggf    ele      num    EWsun
4576.34     2.84     -2.947  FeII     26.1     64.9 
4582.84     2.84     -3.078  FeII     26.1     59.7 
4620.51     2.83     -3.234  FeII     26.1     53.9 
4629.34     2.81     -2.264  FeII     26.1     97.9 
4656.98     2.89     -3.678  FeII     26.1     33.8 
4670.17     2.58     -4.011  FeII     26.1     32.0 
4923.93     2.89     -1.543  FeII     26.1    154.3 
5132.67     2.81     -4.006  FeII     26.1     24.6 
5197.57     3.23     -2.295  FeII     26.1     80.1 
5234.63     3.22     -2.237  FeII     26.1     83.5 
5256.94     2.89     -4.019  FeII     26.1     21.7 
5264.81     3.23     -3.091  FeII     26.1     45.6 
5284.11     2.89     -3.132  FeII     26.1     57.6 
5414.07     3.22     -3.570  FeII     26.1     26.9 
5425.25     3.20     -3.234  FeII     26.1     41.1 
5427.81     6.72     -1.481  FeII     26.1      4.4 
5525.12     3.27     -4.000  FeII     26.1     12.4 
5534.85     3.25     -2.792  FeII     26.1     58.1 
5991.38     3.15     -3.539  FeII     26.1     31.2 
6084.11     3.20     -3.774  FeII     26.1     20.9 
6113.32     3.22     -4.108  FeII     26.1     11.3 
6149.25     3.89     -2.719  FeII     26.1     36.2 
6238.39     3.89     -2.526  FeII     26.1     44.4 
6239.94     3.89     -3.448  FeII     26.1     12.2 
6247.56     3.89     -2.347  FeII     26.1     52.2 
6369.46     2.89     -4.131  FeII     26.1     19.1 
6407.29     3.89     -2.899  FeII     26.1     29.4 
6416.93     3.89     -2.625  FeII     26.1     40.5 
6432.69     2.89     -3.572  FeII     26.1     41.0 
6442.97     5.55     -2.399  FeII     26.1      5.1 
6456.39     3.90     -2.110  FeII     26.1     63.0 
6516.09     2.89     -3.279  FeII     26.1     54.2 
