WL          E.P.     loggf    ele      num    EWsun
5427.81     6.72     -1.481    Fe     26.1      4.4 
5525.12     3.27     -4.000    Fe     26.1     12.4 
5534.85     3.25     -2.792    Fe     26.1     58.1 
5696.09     2.64     -4.555    Fe     26.1     13.2 
5991.38     3.15     -3.539    Fe     26.1     31.2 
6084.11     3.20     -3.774    Fe     26.1     20.9 
6113.32     3.22     -4.108    Fe     26.1     11.3 
6149.25     3.89     -2.719    Fe     26.1     36.2 
6238.39     3.89     -2.526    Fe     26.1     44.4 
6239.94     3.89     -3.448    Fe     26.1     12.2 
6247.56     3.89     -2.347    Fe     26.1     52.2 
6369.46     2.89     -4.131    Fe     26.1     19.1 
6383.72     5.55     -2.060    Fe     26.1      9.9 
6407.29     3.89     -2.899    Fe     26.1     29.4 
6416.93     3.89     -2.625    Fe     26.1     40.5 
6432.69     2.89     -3.572    Fe     26.1     41.0 
6442.97     5.55     -2.399    Fe     26.1      5.1 
6446.40     6.22     -1.905    Fe     26.1      4.2 
6456.39     3.90     -2.110    Fe     26.1     63.0 
6516.09     2.89     -3.279    Fe     26.1     54.2 
7222.40     3.89     -3.223    Fe     26.1     18.9 
7224.48     3.89     -3.209    Fe     26.1     19.3 
7301.57     3.89     -3.726    Fe     26.1      7.6 
7320.68     3.89     -2.399    Fe     26.1     52.3 
7479.70     3.89     -3.595    Fe     26.1      9.9 
7515.84     3.90     -3.414    Fe     26.1     13.7 
7533.37     3.90     -3.215    Fe     26.1     19.3 
7711.73     3.90     -2.540    Fe     26.1     46.4 
