WL          E.P.     loggf    ele      num    EWsun
5589.36     3.90     -1.190   NiI     28.0     26.7 
5625.32     4.09     -0.777   NiI     28.0     37.8 
5628.35     4.09     -1.354   NiI     28.0     14.7 
5638.75     3.90     -1.739   NiI     28.0      9.8 
5641.88     4.11     -1.060   NiI     28.0     24.1 
5643.08     4.16     -1.275   NiI     28.0     15.1 
5682.20     4.10     -0.530   NiI     28.0     50.5 
5694.99     4.09     -0.677   NiI     28.0     43.1 
5748.36     1.68     -3.309   NiI     28.0     28.0 
5754.68     1.94     -2.015   NiI     28.0     76.3 
5805.22     4.17     -0.652   NiI     28.0     40.8 
5847.00     1.68     -3.439   NiI     28.0     23.0 
5996.73     4.24     -1.049   NiI     28.0     20.3 
6007.31     1.68     -3.394   NiI     28.0     25.1 
6086.29     4.27     -0.517   NiI     28.0     43.5 
6108.12     1.68     -2.542   NiI     28.0     65.0 
6111.08     4.09     -0.864   NiI     28.0     34.2 
6119.76     4.27     -1.354   NiI     28.0     10.9 
6128.98     1.68     -3.396   NiI     28.0     25.3 
6130.14     4.27     -0.976   NiI     28.0     22.1 
6175.37     4.09     -0.580   NiI     28.0     49.0 
6176.82     4.09     -0.318   NiI     28.0     63.7 
6177.25     1.83     -3.564   NiI     28.0     14.6 
6186.72     4.11     -0.927   NiI     28.0     30.5 
6204.61     4.09     -1.149   NiI     28.0     22.0 
6223.99     4.11     -0.991   NiI     28.0     27.7 
6230.10     4.11     -1.169   NiI     28.0     20.6 
6322.17     4.15     -1.199   NiI     28.0     18.4 
6327.60     1.68     -3.111   NiI     28.0     38.6 
6360.81     4.17     -1.180   NiI     28.0     18.5 
6378.26     4.15     -0.870   NiI     28.0     31.8 
6598.60     4.24     -0.952   NiI     28.0     24.9 
6635.13     4.42     -0.817   NiI     28.0     23.6 
6767.78     1.83     -2.160   NiI     28.0     79.2 
6772.32     3.66     -0.999   NiI     28.0     49.2 
6842.04     3.66     -1.527   NiI     28.0     24.2 
4523.40     3.65     -1.923   FeI     26.0     44.2 
4531.62     3.21     -1.865   FeI     26.0     66.4 
4537.67     3.27     -2.908   FeI     26.0     17.4 
4551.65     3.94     -1.975   FeI     26.0     29.1 
4554.46     2.87     -2.796   FeI     26.0     37.4 
4556.93     3.25     -2.686   FeI     26.0     26.3 
4561.41     2.76     -2.920   FeI     26.0     36.5 
4566.52     3.30     -2.208   FeI     26.0     46.2 
4574.22     3.21     -2.399   FeI     26.0     41.0 
4574.72     2.28     -2.873   FeI     26.0     59.6 
4579.33     2.83     -3.062   FeI     26.0     27.3 
4593.53     3.94     -1.969   FeI     26.0     29.5 
4596.41     3.65     -2.137   FeI     26.0     34.1 
4602.00     1.61     -3.211   FeI     26.0     72.2 
4602.95     1.49     -2.359   FeI     26.0    123.9 
4607.65     3.98     -0.838   FeI     26.0     90.0 
4625.05     3.24     -1.300   FeI     26.0     96.7 
4630.12     2.28     -2.544   FeI     26.0     74.3 
4631.49     4.55     -1.932   FeI     26.0     11.6 
4635.85     2.85     -2.436   FeI     26.0     55.5 
4661.54     4.56     -1.242   FeI     26.0     38.5 
4690.14     3.69     -1.610   FeI     26.0     58.8 
4741.53     2.83     -2.087   FeI     26.0     73.1 
4749.95     4.56     -1.290   FeI     26.0     36.0 
4757.58     3.27     -2.042   FeI     26.0     56.3 
4772.82     1.56     -2.806   FeI     26.0     94.0 
4779.44     3.42     -2.210   FeI     26.0     41.4 
4780.81     3.25     -3.271   FeI     26.0      9.2 
4787.83     3.00     -2.576   FeI     26.0     42.8 
4788.76     3.24     -1.851   FeI     26.0     67.0 
4789.65     3.55     -1.244   FeI     26.0     85.5 
4793.97     3.05     -3.495   FeI     26.0      8.6 
4794.36     2.42     -3.923   FeI     26.0     12.4 
4799.41     3.64     -2.119   FeI     26.0     35.9 
4802.52     4.61     -1.759   FeI     26.0     14.9 
4802.88     3.69     -1.587   FeI     26.0     60.4 
4808.15     3.25     -2.669   FeI     26.0     27.7 
4809.94     3.57     -2.580   FeI     26.0     19.4 
4811.05     3.07     -3.217   FeI     26.0     14.5 
4885.43     3.88     -1.205   FeI     26.0     72.5 
4905.14     3.93     -1.865   FeI     26.0     35.5 
4924.77     2.28     -2.120   FeI     26.0     97.9 
4946.39     3.37     -1.125   FeI     26.0    103.7 
4952.65     4.21     -1.242   FeI     26.0     55.1 
4961.92     3.63     -2.341   FeI     26.0     26.7 
4962.58     4.18     -1.269   FeI     26.0     55.1 
4967.90     4.19     -0.796   FeI     26.0     82.9 
4993.70     4.21     -1.199   FeI     26.0     57.6 
4994.14     0.92     -3.217   FeI     26.0    105.3 
5044.22     2.85     -2.092   FeI     26.0     73.6 
5049.82     2.28     -1.506   FeI     26.0    149.3 
5054.65     3.64     -2.036   FeI     26.0     40.6 
5067.15     4.22     -0.929   FeI     26.0     73.0 
5068.77     2.94     -1.151   FeI     26.0    131.1 
5072.68     4.22     -1.048   FeI     26.0     65.9 
5074.76     4.22     -0.315   FeI     26.0    120.4 
5083.34     0.96     -3.093   FeI     26.0    111.3 
5088.15     4.15     -1.602   FeI     26.0     38.9 
5090.78     4.26     -0.593   FeI     26.0     93.8 
5107.45     0.99     -3.192   FeI     26.0    104.3 
5107.65     1.56     -2.652   FeI     26.0    105.7 
5109.65     4.30     -0.808   FeI     26.0     76.8 
5127.36     0.92     -3.354   FeI     26.0     99.4 
5129.63     3.94     -1.521   FeI     26.0     53.1 
5141.74     2.42     -2.179   FeI     26.0     89.3 
5143.73     2.20     -3.840   FeI     26.0     22.3 
5151.91     1.01     -3.196   FeI     26.0    103.6 
5159.06     4.28     -0.914   FeI     26.0     71.2 
5180.06     4.47     -1.159   FeI     26.0     47.6 
5187.91     4.14     -1.259   FeI     26.0     57.9 
5194.95     1.56     -2.391   FeI     26.0    124.4 
5195.48     4.22     -0.521   FeI     26.0    101.8 
5196.06     4.26     -0.894   FeI     26.0     73.4 
5197.94     4.30     -1.537   FeI     26.0     35.5 
5198.72     2.22     -2.219   FeI     26.0     97.4 
5217.40     3.21     -1.154   FeI     26.0    112.9 
5223.19     3.63     -2.291   FeI     26.0     29.4 
5225.53     0.11     -4.791   FeI     26.0     72.2 
5228.38     4.22     -1.155   FeI     26.0     60.0 
5229.86     3.28     -1.010   FeI     26.0    120.4 
5242.50     3.63     -1.190   FeI     26.0     86.7 
5243.78     4.26     -1.082   FeI     26.0     62.2 
5247.06     0.09     -4.956   FeI     26.0     66.4 
5250.21     0.12     -4.887   FeI     26.0     68.0 
5253.02     2.28     -3.884   FeI     26.0     18.3 
5253.47     3.28     -1.648   FeI     26.0     77.6 
5263.31     3.27     -0.940   FeI     26.0    127.9 
5288.53     3.69     -1.664   FeI     26.0     57.8 
5293.96     4.14     -1.790   FeI     26.0     30.6 
5294.55     3.64     -2.661   FeI     26.0     15.5 
5295.32     4.42     -1.562   FeI     26.0     29.3 
5361.62     4.42     -1.255   FeI     26.0     44.9 
5373.71     4.47     -0.902   FeI     26.0     62.8 
5376.83     4.29     -2.079   FeI     26.0     14.7 
5379.58     3.69     -1.603   FeI     26.0     61.2 
5386.34     4.15     -1.753   FeI     26.0     32.1 
5389.48     4.42     -0.605   FeI     26.0     84.6 
5395.22     4.45     -1.766   FeI     26.0     20.0 
5398.28     4.45     -0.750   FeI     26.0     73.3 
5401.27     4.32     -1.753   FeI     26.0     25.1 
5406.78     4.37     -1.475   FeI     26.0     35.8 
5409.14     4.37     -1.107   FeI     26.0     55.7 
5417.04     4.42     -1.450   FeI     26.0     34.8 
5432.95     4.45     -0.792   FeI     26.0     70.6 
5436.30     4.39     -1.365   FeI     26.0     40.5 
5436.59     2.28     -3.300   FeI     26.0     43.7 
5441.34     4.31     -1.601   FeI     26.0     32.4 
5461.55     4.45     -1.612   FeI     26.0     26.1 
5464.28     4.14     -1.639   FeI     26.0     38.2 
5466.99     3.65     -2.179   FeI     26.0     34.2 
5473.17     4.19     -2.025   FeI     26.0     19.5 
5481.25     4.10     -1.257   FeI     26.0     60.5 
5491.83     4.19     -2.229   FeI     26.0     13.3 
5522.45     4.21     -1.464   FeI     26.0     44.0 
5534.66     4.15     -2.426   FeI     26.0      9.7 
5538.52     3.63     -2.129   FeI     26.0     37.7 
5543.94     4.22     -1.125   FeI     26.0     62.2 
5546.51     4.37     -1.176   FeI     26.0     52.0 
5547.00     4.22     -1.780   FeI     26.0     28.1 
5553.58     4.43     -1.365   FeI     26.0     38.8 
5560.22     4.43     -1.116   FeI     26.0     52.4 
5567.40     2.61     -2.632   FeI     26.0     60.8 
5577.03     5.03     -1.527   FeI     26.0     11.5 
5584.77     3.57     -2.227   FeI     26.0     35.8 
